repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc
up2code/demo-dev-container,https://github.com/up2code/demo-dev-container,spring-boot/k6/perf_api_post_events.js,yes,,0,,0,,0,,1,4:12
6-BARK/PhotoGallery_Proxy,https://github.com/6-BARK/PhotoGallery_Proxy,JD-proxy/k6proxy.js,yes,,0,,1,28:1,0,,1,4:14
vincentinttsh/2FA-thesis,https://github.com/vincentinttsh/2FA-thesis,misc/k6/script.js,yes,,0,,0,,3,53:13; 64:13; 84:13,1,5:14
owncloud/cdperf,https://github.com/owncloud/cdperf,packages/k6-tdk/config/vitest.mocks.ts,yes,,0,,0,,0,,0,
owncloud/cdperf,https://github.com/owncloud/cdperf,packages/k6-tests/config/vitest.mocks.ts,yes,,0,,0,,0,,0,
sdc-jackson/user-service,https://github.com/sdc-jackson/user-service,stressTest/getScript.js,yes,,0,,0,,0,,1,13:12
liweiyuan/students-manager,https://github.com/liweiyuan/students-manager,stressTest.js,yes,,0,,0,,0,,0,
petechain23/K6,https://github.com/petechain23/K6,05-OMNI_Modularize_2/v2/flows/pages/outletsSearch.js,yes,,0,,0,,0,,0,
petechain23/K6,https://github.com/petechain23/K6,01-Practices/solace/loadTestSolace.js,yes,,0,,0,,0,,1,8:14
petechain23/K6,https://github.com/petechain23/K6,01-Practices/TestLifeCycle/bbb.js,yes,,0,,1,23:17,0,,1,11:14
Ovi/DummyJSON,https://github.com/Ovi/DummyJSON,scripts/loadtest.js,yes,,0,,0,,0,,0,
julianshen/yatagarasu,https://github.com/julianshen/yatagarasu,k6-streaming.js,yes,,0,,0,,0,,0,
Arch-Frost/Tripify,https://github.com/Arch-Frost/Tripify,server/k6_Testing/deleteUser.js,yes,,0,,0,,0,,1,4:12
ValterIversen/valteriversen,https://github.com/ValterIversen/valteriversen,src/components/Projects.js,yes,,0,,0,,0,,0,
srperf/k6Modular,https://github.com/srperf/k6Modular,otherExamples/remoteOptions/Stages.js,yes,,0,,1,19:1,0,,1,4:14
fuji-184/FNode_HTTP,https://github.com/fuji-184/FNode_HTTP,k6.js,yes,,0,,0,,0,,1,5:12
LauroDF/FinalChallenge,https://github.com/LauroDF/FinalChallenge,projeto-ServeRest-k6/support/utils/Delete-User.js,yes,,0,,0,,0,,1,4:14
mulyosyahidin/spring-boot-vocasia-microservices,https://github.com/mulyosyahidin/spring-boot-vocasia-microservices,testing/base-testing/src/6-order-service.js,yes,,0,,0,,2,81:31; 105:38,1,17:12
mulyosyahidin/spring-boot-vocasia-microservices,https://github.com/mulyosyahidin/spring-boot-vocasia-microservices,k8s-hpa/k6/src/load.js,yes,,0,,1,19:1,0,,1,5:12
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/004-working-with-http/http-post-one.js,yes,,0,,1,6:1,0,,0,
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/013-parallel-call/ai/ai-parallel-call-05.js,yes,,0,,0,,2,37:23; 41:9,0,
timpamungkasudemy/ai-assisted-testing-k6,https://github.com/timpamungkasudemy/ai-assisted-testing-k6,k6/004-working-with-http/ai/ai-http-delete-one.js,yes,,0,,1,7:1,0,,0,
HugoBouttes/poc-queen-mongodb,https://github.com/HugoBouttes/poc-queen-mongodb,Scripts/script9.js,yes,,0,,0,,7,73:17; 81:18; 88:18; 101:20; 143:25; 153:24; 163:24,1,7:14
vifor/faas-to-iaas-migration-framework,https://github.com/vifor/faas-to-iaas-migration-framework,scripts/load-testing/utils/validation.js,yes,,0,,0,,28,34:12; 47:12; 61:12; 75:12; 139:12; 154:12; 177:12; 200:12; 215:12; 238:12; 274:12; 293:30; 308:30; 323:30; 338:30; 353:30; 364:12; 370:12; 380:12; 400:12; 415:12; 430:12; 450:12; 468:12; 489:12; 504:12; 517:27; 543:27,0,
MatheusGFritzke/chaos-test,https://github.com/MatheusGFritzke/chaos-test,load-generator/realistic-user.js,yes,,0,,0,,4,92:22; 115:24; 145:22; 181:22,0,
DiogoRibeiro7/git-actions-collection,https://github.com/DiogoRibeiro7/git-actions-collection,examples/api-testing/k6-script.js,yes,,0,,0,,0,,1,4:12
Dmitry-Boyko/Udemy,https://github.com/Dmitry-Boyko/Udemy,K6/abort.js,yes,,0,,1,18:1,0,,1,6:14
glific/k6io,https://github.com/glific/k6io,src/message.ts,yes,,0,,0,,0,,0,
SamikshyaS/loadTest,https://github.com/SamikshyaS/loadTest,assetsProfile.js,yes,,0,,0,,0,,1,4:14
SamikshyaS/loadTest,https://github.com/SamikshyaS/loadTest,websiteurl.js,yes,,0,,0,,0,,1,3:14
lelold/pvz,https://github.com/lelold/pvz,loadtest/loadtest_dummyLogin.js,yes,,0,,0,,0,,0,
JonathanGunawan30/belajar-k6,https://github.com/JonathanGunawan30/belajar-k6,src/stages.js,yes,,0,,1,13:1,0,,1,5:14
meownguyen1104/PerformanceTest,https://github.com/meownguyen1104/PerformanceTest,Learning/LessonTest.js,yes,,0,,1,9:1,0,,1,4:14
DFE-Digital/publish-teacher-training,https://github.com/DFE-Digital/publish-teacher-training,load_testing/find/journeys/course-details.js,yes,,0,,0,,4,9:30; 20:30; 35:30; 40:32,0,
DFE-Digital/publish-teacher-training,https://github.com/DFE-Digital/publish-teacher-training,load_testing/find/utils/checks.js,yes,,0,,0,,0,,0,
zapier/prom-aggregation-gateway,https://github.com/zapier/prom-aggregation-gateway,benchmarking/no_labels.js,yes,,0,,0,,0,,0,
getBlackBadge/3rd-concert,https://github.com/getBlackBadge/3rd-concert,scripts/script2-3.js,yes,,0,,1,23:1,0,,1,5:12
hr-rfp55-sdc2-cucco/Project-Atelier-Reviews-API,https://github.com/hr-rfp55-sdc2-cucco/Project-Atelier-Reviews-API,k6/scripts/reportReview.js,yes,,0,,0,,0,,0,
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/pages/yves/order.page.js,yes,,0,,0,,2,15:22; 28:22,0,
spryker/commerce-k6-performance-tests,https://github.com/spryker/commerce-k6-performance-tests,src/pages/bo/merchant-sales.page.js,yes,,0,,0,,0,,0,
mmazune/chefcloud,https://github.com/mmazune/chefcloud,perf/scenarios/offline-queue.js,yes,,0,,0,,0,,0,
J-reyes132/api-test-k6,https://github.com/J-reyes132/api-test-k6,RickMortyCharacterByStatus_script.js,yes,,0,,0,,2,16:16; 17:5,1,5:14
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/v3/07-testCancelCoupon_shouldSuccess.js,yes,,0,,0,,0,,1,4:12
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/__tmp__/v3/07-testCancelCoupon_shouldSuccess.js,yes,,0,,0,,0,,1,4:12
